A whole bunch of spiders in a SWAT suit
Al "Otta" Gore
AMERICA
Beat Punchbeef
Blast Hardcheese
Blast Thickneck
Bob Johnson
Bold Bigflank
Bolt Vanderhuge
Brick Hardmeat
Buck Plankchest
Buff Drinklots
Buff Hardback
Butch Deadlift
Crud Bonemeal
Crunch Buttsteak
Crush McStompbones
Dirk Hardpeck
Duke Killington
Evil Bob Marley
Evil Martin Luther King
Fist Rockbone
Flint Ironstag
Frank Weldingtank
Fridge Largemeat
George Melons
Gibbs McLargehuge
GORE Vidal
Gristle McThornBody
Hank Chesthair
Hans Testosteroneson
Killiam Shakespeare
Killing McKillingalot
Lance Killiam
Leonardo Da Viking
Lump Beefrock
Mancrush McBrorape
Maurice from Accounting
Max Pain
Maximilian Murderface
Maxx Power
Maxxx Power
Maxxxx Power
Noam Bombsky
Pack Blowfist
Pain Hurtrod
Pax Heat
Punch Rockgroin
Punch Sideiron
Punt Speedchunk
Reef Blastbody
Rex Dudekiller VII
Rip Sidecheek
Rip Steakface
Roll Fizzlebeef
Sarah Pain
Seamus McTosterone
Sam Slaughter
Sir Killaslot
Slab Bulkhead
Slab Squatthrust
Slake Fistcrunch
Slate Slabrock
Smash Lampjaw
Smoke Manmuscle
Splint Chesthair
Stabby McGee
Stump Beefgnaw
Stump Chunkman
THAT DAMN FAGGOT TRAITOR GEORGE MELONS
Theodore Pain
Thick McRunfast
Toolboxl Rose
Touch Rustrod
Trunk Slamchest
Xylophone Jones
Zombie Gandhi
